Location,URL
Mansfield,"<a href=""https://t.co/HA4BtcBiFu"">https://t.co/HA4BtcBiFu</a>"
Nottingham,"<a href=""https://t.co/wo0cXPgbqo"">https://t.co/wo0cXPgbqo</a>"
Nottingham,"<a href=""https://t.co/wo0cXPgbqo"">https://t.co/wo0cXPgbqo</a>"
Nottingham,"<a href=""https://t.co/v8DA72ausN"">https://t.co/v8DA72ausN</a>"
Nottingham,"<a href=""https://t.co/cybez3Lu4r"">https://t.co/cybez3Lu4r</a>"
Nottingham,"<a href=""https://t.co/SpY2E9c7nj"">https://t.co/SpY2E9c7nj</a>"
Nottingham,"<a href=""https://t.co/n29J05fa07"">https://t.co/n29J05fa07</a>"
Nottingham,"<a href=""https://t.co/n29J05fa07"">https://t.co/n29J05fa07</a>"
Nottingham,"<a href=""https://t.co/LAlRZppPVh"">https://t.co/LAlRZppPVh</a>"
Nottingham,"<a href=""https://t.co/gfQA7QRjxe"">https://t.co/gfQA7QRjxe</a>"
Nottingham,"<a href=""https://t.co/YWkDMHIFnu"">https://t.co/YWkDMHIFnu</a>"
